Recall Date,Recall Number,Recall Class,Product,Reason for Recall,Pounds Recalled
Jan 14 2012,001-2012,I,Seasoned Diced Beef Products,Extraneous Material,3104
Jan 27 2012,002-2012,I,Beef Sirloin Products,Undeclared Allergen,2645
Jan 27 2012,003-2012,I,Julienne Salad Products,Listeria monocytogenes,118
Feb 2 2012,004-2012,I,Chef Salad Products,Listeria monocytogenes,23
Feb 3 2012,005-2012,I,Cobb Salad Products,Listeria monocytogenes,515
Feb 3 2012,006-2012,I,Cobb and Spinach Salads,Listeria monocytogenes,389
Feb 7 2012,007-2012,I,Chicken Salad Products,Listeria monocytogenes,1200
Feb 10 2012,008-2012,II,Cooked Pork Hocks,Undeclared Allergen,25600
Feb 15 2012,009-2012,I,Meat and Poultry Products,Other,10000
Feb 16 2012,010-2012,I,Chili Products,Other,3800
Feb 27 2012,011-2012,III,Country Breakfast Sausage,Undeclared Substance,200
Mar 2 2012,012-2012,II,Frozen RTE Pizza Stick Products,Other,147
Mar 6 2012,013-2012,II,Pizza Topping Products,Undeclared Allergen,12060
Mar 17 2012,014-2012,I,Grilled Chicken Caesar Wrap,Undeclared Allergen,1784
Mar 19 2012,015-2012,III,Pork Product,Other,84587
Mar 21 2012,016-2012,I,RTE Beef Sausage Products,Listeria monocytogenes,2373
Mar 24 2012,017-2012,I,Ground Beef Patties,E. coli O157:H7,16800
Mar 26 2012,018-2012,I,Smoked Sausage Product,Undeclared Allergen,64020
Mar 29 2012,019-2012,I,"Stuffed, Layered Beef Products",Listeria monocytogenes,1100
Mar 30 2012,020-2012,I,Chicken Products,Undeclared Allergen,187
Mar 31 2012,021-2012,II,Chicken Apple Sausage Products,Extraneous Material,26136
Apr 3 2012,022-2012,I,Stuffed Potato Product,Undeclared Allergen,5400
Apr 6 2012,023-2012,III,Steamed BBQ Flavored Pork Buns,Undeclared Substance,50820
Apr 11 2012,024-2012,I,Ground and Tenderized Beef Products,E. coli O157:H7,2057
Apr 17 2012,025-2012,II,Frozen Entrées,Undeclared Allergen,16890
Apr 20 2012,026-2012,I,Sausage Products,Undeclared Allergen,3000
Apr 20 2012,027-2012,I,Pizza Calzone Products,Listeria monocytogenes,311
May 10 2012,028-2012,II,Chorizo Product,Undeclared Allergen,5156
May 17 2012,029-2012,II,Beef Samosa Products,Other,3300
May 17 2012,030-2012,I,Lamb Koftis,Undeclared Allergen,20520
May 18 2012,031-2012,II,Turkey Burger Product,Undeclared Allergen,15040
May 19 2012,032-2012,II,Steakhouse Burgers,Undeclared Allergen,456
May 22 2012,033-2012,II,Lasagna Products,Undeclared Allergen,13776
May 24 2012,034-2012,II,Smoked Bratwurst Product,Undeclared Allergen,3660
May 24 2012,035-2012,II,"Frozen, Raw Chicken Breast Product",Undeclared Allergen,100
Jun 1 2012,036-2012,II,Raw and RTE Pork Roll Products,Undeclared Allergen,13200
